Berkeley,Brown,Caltech,CMU,College of William and Mary,Columbia,Cornell,Dartmouth,Gatech,JHU,MIT,Northwestern,NYU,Notre Dame,OSU,Princeton,PSU,Purdue,Rice,RPI,Rugters,Stanford,U. of Chicago,U. of Wisconsin Madison,UCB,UCDavis,UCI,UCLA,UCR,UCSB,UCSC,UCSD,UF,UIUC,Umich,UMN,UNC,Upenn,USC,Utah,UTAustin,Uva,UW,Vanderbilt,WUSTL,Yale
25,32,32,40,9,26,40,32,38,18,40,21,26,17,21,31,28,33,47,29,19,57,17,44,35,19,46,36,33,25,27,28,21,35,31,21,24,44,39,28,34,28,47,11,25,34
25,27,13,40,,18,35,11,34,18,31,18,16,16,20,24,12,29,46,23,18,44,14,32,30,19,33,28,23,25,26,27,16,31,30,16,23,36,27,23,31,23,44,,21,21
23,25,,37,,,35,,31,,30,13,14,1,16,17,11,28,45,17,16,42,12,30,29,19,31,28,22,24,8,26,16,28,30,16,15,33,21,20,29,22,33,,5,21
22,21,,37,,,34,,27,,30,8,13,,16,17,10,22,28,16,16,39,12,30,21,15,31,24,16,23,7,23,15,27,28,15,14,24,6,20,28,21,31,,3,15
14,19,,36,,,30,,26,,29,7,13,,15,13,5,21,27,10,13,32,8,28,20,14,29,20,9,23,5,23,12,25,27,13,10,22,,16,26,20,31,,,13
12,14,,34,,,30,,25,,27,2,13,,14,12,3,18,27,8,12,32,,21,19,13,29,16,7,22,,16,11,24,26,9,10,22,,16,26,15,28,,,10
8,11,,32,,,29,,25,,24,,13,,13,6,,17,23,7,12,31,,17,14,13,25,14,,21,,16,9,22,25,7,8,22,,13,26,15,23,,,2
7,10,,31,,,27,,25,,24,,12,,12,2,,16,20,3,9,28,,15,13,12,22,14,,18,,13,9,19,23,5,8,21,,11,24,6,18,,,
,2,,31,,,22,,25,,21,,11,,10,,,16,19,,8,26,,12,13,11,20,11,,17,,10,7,18,21,,7,20,,10,23,2,15,,,
,,,31,,,20,,22,,20,,11,,7,,,15,18,,7,24,,10,12,10,18,10,,16,,7,7,17,21,,5,20,,8,23,,15,,,
,,,30,,,19,,19,,19,,11,,5,,,14,18,,7,22,,8,12,9,18,10,,16,,6,4,16,21,,5,20,,8,22,,13,,,
,,,28,,,18,,19,,19,,,,,,,14,16,,6,22,,,12,9,15,9,,12,,,2,16,16,,4,20,,3,22,,5,,,
,,,28,,,18,,19,,15,,,,,,,10,25,,6,15,,,11,8,14,8,,12,,,,15,14,,2,19,,,18,,5,,,
,,,27,,,18,,19,,14,,,,,,,8,13,,,14,,,11,8,14,7,,7,,,,14,13,,2,18,,,18,,4,,,
,,,27,,,16,,19,,13,,,,,,,4,8,,,13,,,9,4,14,3,,3,,,,14,12,,,17,,,18,,3,,,
,,,26,,,15,,18,,13,,,,,,,4,7,,,12,,,9,,14,,,2,,,,13,11,,,16,,,18,,,,,
,,,26,,,15,,17,,11,,,,,,,,6,,,11,,,8,,12,,,,,,,11,9,,,10,,,17,,,,,
,,,25,,,12,,17,,10,,,,,,,,5,,,4,,,4,,12,,,,,,,9,9,,,9,,,14,,,,,
,,,25,,,11,,16,,10,,,,,,,,4,,,4,,,,,12,,,,,,,8,7,,,8,,,14,,,,,
,,,25,,,9,,14,,8,,,,,,,,,,,,,,,,11,,,,,,,7,7,,,6,,,14,,,,,
,,,24,,,4,,13,,7,,,,,,,,,,,,,,,,9,,,,,,,6,7,,,5,,,12,,,,,
,,,21,,,,,13,,7,,,,,,,,,,,,,,,,9,,,,,,,,7,,,5,,,11,,,,,
,,,21,,,,,12,,7,,,,,,,,,,,,,,,,9,,,,,,,,,,,4,,,9,,,,,
,,,21,,,,,12,,6,,,,,,,,,,,,,,,,8,,,,,,,,,,,1,,,8,,,,,
,,,20,,,,,12,,6,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
,,,20,,,,,11,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,17,,,,,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,,,,,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,,,,,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,,,,,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,